GM = 4.911328E12
orbital radius = 1837400.0 m
velocity = 1634.9241672822895 m/s
predicted period = 7061.3212003602575 s
state.size = 4
state = [ 1837400.0, 0.0, 0.0, 1634.9241672822895 ]

t, x, y, vx, vy, am, en, radius, v
40.0, 1836236.3144148998, 65383.16009481386, -58.17813680869616, 1633.888716272059, 3.0040096649644785E9, -1336488.5163818442, 1837399.9999999995, 1634.9241672822898
40.5, 1836207.043617558, 66200.09795511374, -58.90505062766435, 1633.8626710266196, 3.0040096649644785E9, -1336488.5163818444, 1837399.9999999998, 1634.9241672822895
41.0, 1836177.4093662153, 67017.02271194007, -59.6319527871215, 1633.8363023786937, 3.004009664964478E9, -1336488.5163818444, 1837399.9999999998, 1634.9241672822895
41.5, 1836147.4116667379, 67833.93420359289, -60.3588431431865, 1633.8096103335004, 3.004009664964478E9, -1336488.5163818444, 1837399.9999999995, 1634.9241672822895
42.0, 1836117.0505250632, 68650.8322683749, -61.085721551980576, 1633.7825948963227, 3.004009664964478E9, -1336488.5163818444, 1837399.9999999995, 1634.9241672822895
42.5, 1836086.3259472009, 69467.71674459144, -61.812587869627336, 1633.7552560725085, 3.004009664964478E9, -1336488.5163818442, 1837399.9999999995, 1634.9241672822898
43.0, 1836055.2379392327, 70284.58747055054, -62.539441952252766, 1633.7275938674688, 3.004009664964478E9, -1336488.5163818446, 1837399.9999999993, 1634.9241672822898
43.5, 1836023.786507312, 71101.44428456295, -63.26628365598527, 1633.6996082866792, 3.0040096649644785E9, -1336488.5163818442, 1837399.9999999995, 1634.9241672822898
44.0, 1835991.971657664, 71918.28702494218, -63.99311283695572, 1633.671299335679, 3.0040096649644785E9, -1336488.516381844, 1837399.9999999995, 1634.9241672822898
44.5, 1835959.7933965863, 72735.11553000452, -64.71992935129745, 1633.6426670200713, 3.0040096649644785E9, -1336488.5163818442, 1837399.9999999998, 1634.9241672822898
45.0, 1835927.2517304479, 73551.9296380691, -65.44673305514631, 1633.6137113455238, 3.0040096649644785E9, -1336488.5163818444, 1837399.9999999995, 1634.9241672822895
45.5, 1835894.3466656902, 74368.72918745785, -66.17352380464068, 1633.584432317768, 3.0040096649644785E9, -1336488.5163818446, 1837399.9999999998, 1634.9241672822893
46.0, 1835861.0782088262, 75185.51401649562, -66.90030145592151, 1633.5548299425993, 3.0040096649644785E9, -1336488.5163818444, 1837399.9999999998, 1634.9241672822895
46.5, 1835827.4463664412, 76002.28396351018, -67.62706586513234, 1633.524904225877, 3.004009664964478E9, -1336488.5163818444, 1837399.9999999995, 1634.9241672822895
47.0, 1835793.4511451921, 76819.03886683223, -68.35381688841933, 1633.4946551735245, 3.004009664964478E9, -1336488.5163818446, 1837399.9999999998, 1634.9241672822893
47.5, 1835759.0925518079, 77635.77856479543, -69.0805543819313, 1633.4640827915293, 3.004009664964478E9, -1336488.5163818446, 1837399.9999999998, 1634.9241672822893
48.0, 1835724.3705930891, 78452.50289573648, -69.80727820181971, 1633.4331870859428, 3.004009664964478E9, -1336488.516381845, 1837399.9999999995, 1634.924167282289
48.5, 1835689.285275909, 79269.21169799512, -70.5339882042388, 1633.4019680628805, 3.004009664964478E9, -1336488.5163818446, 1837399.9999999998, 1634.9241672822893
49.0, 1835653.8366072117, 80085.90480991415, -71.26068424534546, 1633.3704257285217, 3.0040096649644775E9, -1336488.5163818449, 1837399.9999999995, 1634.9241672822893
49.5, 1835618.0245940143, 80902.58206983947, -71.98736618129941, 1633.3385600891097, 3.0040096649644775E9, -1336488.5163818449, 1837399.9999999995, 1634.9241672822893
50.0, 1835581.8492434053, 81719.24331612013, -72.71403386826313, 1633.3063711509521, 3.0040096649644775E9, -1336488.5163818449, 1837399.9999999995, 1634.9241672822893
